measurement_code,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
NL49007,21,23,22,22,21,17,18
NL49012,23,22,22,24,22,19,19
NL49014,17,17,17,19,18,16,15
NL49016,17,22,22,22,20,17,17
NL49017,21,21,20,21,19,17,18
NL49020,20,23,23,23,20,18,19
NL49546,20,19,22,22,21,18,18
NL49551,19,20,21,24,21,19,18
NL49553,23,21,24,26,25,22,21
NL49556,15,15,14,17,15,13,13
NL49557,-,-,-,-,-,-,21
NL49561,19,19,19,21,19,17,16
NL49564,14,15,18,20,18,16,15
NL49565,17,19,18,20,17,15,15
NL49570,17,17,20,21,20,18,17
NL49572,18,19,20,20,17,17,15
NL49573,26,28,28,32,28,25,23
NL49701,20,22,20,20,18,16,16
NL49703,17,17,16,17,16,15,15
NL49704,17,21,17,20,18,16,16
